"id","label","FC_michelson","TC_michelson","responseRate","weights","FC_michelson_c","TC_michelson_c","baseline"
"106","800",0.069,0.01,0.620689655172414,29,0.0459685863874346,0.00128272251308901,0.009
"106","800",0.069,0.012,0.705882352941177,17,0.0459685863874346,0.00328272251308901,0.009
"106","800",0.069,0.016,0.857142857142857,7,0.0459685863874346,0.00728272251308901,0.009
"106","800",0.069,0.019,1,2,0.0459685863874346,0.010282722513089,0.009
"106","800",0.069,0.024,1,1,0.0459685863874346,0.015282722513089,0.009
"106","800",0.069,0.031,1,1,0.0459685863874346,0.022282722513089,0.009
"106","800",0.069,0.038,1,1,0.0459685863874346,0.029282722513089,0.009
"106","800",0.069,0.048,1,1,0.0459685863874346,0.039282722513089,0.009
"107","000",0,0.003,0,1,-0.0230314136125654,-0.00571727748691099,0.007
"107","000",0,0.004,0.333333333333333,3,-0.0230314136125654,-0.00471727748691099,0.007
"107","000",0,0.005,0.666666666666667,3,-0.0230314136125654,-0.00371727748691099,0.007
"107","000",0,0.006,0.166666666666667,6,-0.0230314136125654,-0.00271727748691099,0.007
"107","000",0,0.008,0.230769230769231,26,-0.0230314136125654,-0.000717277486910995,0.007
"107","000",0,0.01,0.4375,48,-0.0230314136125654,0.00128272251308901,0.007
"107","000",0,0.012,0.717948717948718,39,-0.0230314136125654,0.00328272251308901,0.007
"107","000",0,0.016,0.8,15,-0.0230314136125654,0.00728272251308901,0.007
"107","000",0,0.019,0.8,5,-0.0230314136125654,0.010282722513089,0.007
"107","000",0,0.024,0.666666666666667,3,-0.0230314136125654,0.015282722513089,0.007
"107","000",0,0.031,1,2,-0.0230314136125654,0.022282722513089,0.007
"107","000",0,0.038,1,1,-0.0230314136125654,0.029282722513089,0.007
"107","000",0,0.048,1,1,-0.0230314136125654,0.039282722513089,0.007
"107","100",0.007,0.003,0,2,-0.0160314136125654,-0.00571727748691099,0.007
"107","100",0.007,0.004,0.333333333333333,6,-0.0160314136125654,-0.00471727748691099,0.007
"107","100",0.007,0.005,0.307692307692308,13,-0.0160314136125654,-0.00371727748691099,0.007
"107","100",0.007,0.006,0.333333333333333,30,-0.0160314136125654,-0.00271727748691099,0.007
"107","100",0.007,0.008,0.6,35,-0.0160314136125654,-0.000717277486910995,0.007
"107","100",0.007,0.01,0.535714285714286,28,-0.0160314136125654,0.00128272251308901,0.007
"107","100",0.007,0.012,0.666666666666667,21,-0.0160314136125654,0.00328272251308901,0.007
"107","100",0.007,0.016,0.888888888888889,9,-0.0160314136125654,0.00728272251308901,0.007
"107","100",0.007,0.019,1,2,-0.0160314136125654,0.010282722513089,0.007
"107","100",0.007,0.024,1,1,-0.0160314136125654,0.015282722513089,0.007
"107","100",0.007,0.031,1,1,-0.0160314136125654,0.022282722513089,0.007
"107","100",0.007,0.038,1,1,-0.0160314136125654,0.029282722513089,0.007
"107","100",0.007,0.048,1,1,-0.0160314136125654,0.039282722513089,0.007
"107","200",0.014,0.002,0.260869565217391,23,-0.00903141361256545,-0.00671727748691099,0.007
"107","200",0.014,0.003,0.354838709677419,31,-0.00903141361256545,-0.00571727748691099,0.007
"107","200",0.014,0.004,0.606060606060606,33,-0.00903141361256545,-0.00471727748691099,0.007
"107","200",0.014,0.005,0.565217391304348,23,-0.00903141361256545,-0.00371727748691099,0.007
"107","200",0.014,0.006,0.625,16,-0.00903141361256545,-0.00271727748691099,0.007
"107","200",0.014,0.008,0.545454545454545,11,-0.00903141361256545,-0.000717277486910995,0.007
"107","200",0.014,0.01,0.714285714285714,7,-0.00903141361256545,0.00128272251308901,0.007
"107","200",0.014,0.012,0.75,4,-0.00903141361256545,0.00328272251308901,0.007
"107","200",0.014,0.016,1,2,-0.00903141361256545,0.00728272251308901,0.007
"107","200",0.014,0.019,1,1,-0.00903141361256545,0.010282722513089,0.007
"107","200",0.014,0.024,1,1,-0.00903141361256545,0.015282722513089,0.007
"107","200",0.014,0.031,1,1,-0.00903141361256545,0.022282722513089,0.007
"107","200",0.014,0.038,1,1,-0.00903141361256545,0.029282722513089,0.007
"107","200",0.014,0.048,1,1,-0.00903141361256545,0.039282722513089,0.007
